#x [fm] 	 y [fm] 	 T [GeV] 
-8.6039	8.00363	0.00713151
-8.40381	8.00363	0.00713151
-8.20372	8.00363	0.00713151
-8.00363	8.00363	0.00713151
-7.80354	8.00363	0.00713151
-7.60345	8.00363	0.00713151
-7.40336	8.00363	0.00713151
-7.20327	8.00363	0.00713151
-7.00318	8.00363	0.00713151
-6.80309	8.00363	0.00713151
-6.603	8.00363	0.00713151
-6.4029	8.00363	0.00713151
-6.20281	8.00363	0.00713151
-6.00272	8.00363	0.00713151
-5.80263	8.00363	0.00713151
-5.60254	8.00363	0.00713151
-5.40245	8.00363	0.00713151
-5.20236	8.00363	0.00713151
-5.00227	8.00363	0.00713151
-4.80218	8.00363	0.00713151
-4.60209	8.00363	0.00713151
-4.402	8.00363	0.00713151
-4.20191	8.00363	0.00713151
-4.00182	8.00363	0.00713151
-3.80172	8.00363	0.00713151
-3.60163	8.00363	0.00713151
-3.40154	8.00363	0.00713151
-3.20145	8.00363	0.00713151
-3.00136	8.00363	0.00713151
-2.80127	8.00363	0.00713151
-2.60118	8.00363	0.00713151
-2.40109	8.00363	0.00713151
-2.201	8.00363	0.00713151
-2.00091	8.00363	0.00713151
-1.80082	8.00363	0.00713151
-1.60073	8.00363	0.00713151
-1.40064	8.00363	0.00713151
-1.20054	8.00363	0.00713151
-1.00045	8.00363	0.00713151
-0.800363	8.00363	0.00713151
-0.600272	8.00363	0.00713151
-0.400182	8.00363	0.00713151
-0.200091	8.00363	0.00713151
0	8.00363	0.00713151
0.200091	8.00363	0.00713151
0.400182	8.00363	0.00713151
0.600272	8.00363	0.00713151
0.800363	8.00363	0.00713151
1.00045	8.00363	0.00713151
1.20054	8.00363	0.00713151
1.40064	8.00363	0.00713151
1.60073	8.00363	0.00713151
1.80082	8.00363	0.00713151
2.00091	8.00363	0.00713151
2.201	8.00363	0.00713151
2.40109	8.00363	0.00713151
2.60118	8.00363	0.00713151
2.80127	8.00363	0.00713151
3.00136	8.00363	0.00713151
3.20145	8.00363	0.00713151
3.40154	8.00363	0.00713151
3.60163	8.00363	0.00713151
3.80172	8.00363	0.00713151
4.00182	8.00363	0.00713151
4.20191	8.00363	0.00713151
4.402	8.00363	0.00713151
4.60209	8.00363	0.00713151
4.80218	8.00363	0.00713151
5.00227	8.00363	0.00713151
5.20236	8.00363	0.00713151
5.40245	8.00363	0.00713151
5.60254	8.00363	0.00713151
5.80263	8.00363	0.00713151
6.00272	8.00363	0.00713151
6.20281	8.00363	0.00713151
6.4029	8.00363	0.00713151
6.603	8.00363	0.00713151
6.80309	8.00363	0.00713151
7.00318	8.00363	0.00713151
7.20327	8.00363	0.00713151
7.40336	8.00363	0.00713151
7.60345	8.00363	0.00713151
7.80354	8.00363	0.00713151
8.00363	8.00363	0.00713151
8.20372	8.00363	0.00713151
8.40381	8.00363	0.00713151
8.6039	8.00363	0.00713151
8.80399	8.00363	0.00713151
9.00408	8.00363	0.00713151
9.20418	8.00363	0.00713151
9.40427	8.00363	0.00713151
9.60436	8.00363	0.00713151
9.80445	8.00363	0.00713151
10.0045	8.00363	0.00713151

-9.80445	8.20372	0.00713151
-9.60436	8.20372	0.00713151
-9.40427	8.20372	0.00713151
-9.20418	8.20372	0.00713151
-9.00408	8.20372	0.00713151
-8.80399	8.20372	0.00713151
-8.6039	8.20372	0.00713151
-8.40381	8.20372	0.00713151
-8.20372	8.20372	0.00713151
-8.00363	8.20372	0.00713151
-7.80354	8.20372	0.00713151
-7.60345	8.20372	0.00713151
-7.40336	8.20372	0.00713151
-7.20327	8.20372	0.00713151
-7.00318	8.20372	0.00713151
-6.80309	8.20372	0.00713151
-6.603	8.20372	0.00713151
-6.4029	8.20372	0.00713151
-6.20281	8.20372	0.00713151
-6.00272	8.20372	0.00713151
-5.80263	8.20372	0.00713151
-5.60254	8.20372	0.00713151
-5.40245	8.20372	0.00713151
-5.20236	8.20372	0.00713151
-5.00227	8.20372	0.00713151
-4.80218	8.20372	0.00713151
-4.60209	8.20372	0.00713151
-4.402	8.20372	0.00713151
-4.20191	8.20372	0.00713151
-4.00182	8.20372	0.00713151
-3.80172	8.20372	0.00713151
-3.60163	8.20372	0.00713151
-3.40154	8.20372	0.00713151
-3.20145	8.20372	0.00713151
-3.00136	8.20372	0.00713151
-2.80127	8.20372	0.00713151
-2.60118	8.20372	0.00713151
-2.40109	8.20372	0.00713151
-2.201	8.20372	0.00713151
-2.00091	8.20372	0.00713151
-1.80082	8.20372	0.00713151
-1.60073	8.20372	0.00713151
-1.40064	8.20372	0.00713151
-1.20054	8.20372	0.00713151
-1.00045	8.20372	0.00713151
-0.800363	8.20372	0.00713151
-0.600272	8.20372	0.00713151
-0.400182	8.20372	0.00713151
-0.200091	8.20372	0.00713151
0	8.20372	0.00713151
0.200091	8.20372	0.00713151
0.400182	8.20372	0.00713151
0.600272	8.20372	0.00713151
0.800363	8.20372	0.00713151
1.00045	8.20372	0.00713151
1.20054	8.20372	0.00713151
1.40064	8.20372	0.00713151
1.60073	8.20372	0.00713151
1.80082	8.20372	0.00713151
2.00091	8.20372	0.00713151
2.201	8.20372	0.00713151
2.40109	8.20372	0.00713151
2.60118	8.20372	0.00713151
2.80127	8.20372	0.00713151
3.00136	8.20372	0.00713151
3.20145	8.20372	0.00713151
3.40154	8.20372	0.00713151
3.60163	8.20372	0.00713151
3.80172	8.20372	0.00713151
4.00182	8.20372	0.00713151
4.20191	8.20372	0.00713151
4.402	8.20372	0.00713151
4.60209	8.20372	0.00713151
4.80218	8.20372	0.00713151
5.00227	8.20372	0.00713151
5.20236	8.20372	0.00713151
5.40245	8.20372	0.00713151
5.60254	8.20372	0.00713151
5.80263	8.20372	0.00713151
6.00272	8.20372	0.00713151
6.20281	8.20372	0.00713151
6.4029	8.20372	0.00713151
6.603	8.20372	0.00713151
6.80309	8.20372	0.00713151
7.00318	8.20372	0.00713151
7.20327	8.20372	0.00713151
7.40336	8.20372	0.00713151
7.60345	8.20372	0.00713151
7.80354	8.20372	0.00713151
8.00363	8.20372	0.00713151
8.20372	8.20372	0.00713151
8.40381	8.20372	0.00713151
8.6039	8.20372	0.00713151
8.80399	8.20372	0.00713151
9.00408	8.20372	0.00713151
9.20418	8.20372	0.00713151
9.40427	8.20372	0.00713151
9.60436	8.20372	0.00713151
9.80445	8.20372	0.00713151
10.0045	8.20372	0.00713151

-9.80445	8.40381	0.00713151
-9.60436	8.40381	0.00713151
-9.40427	8.40381	0.00713151
-9.20418	8.40381	0.00713151
-9.00408	8.40381	0.00713151
-8.80399	8.40381	0.00713151
-8.6039	8.40381	0.00713151
-8.40381	8.40381	0.00713151
-8.20372	8.40381	0.00713151
-8.00363	8.40381	0.00713151
-7.80354	8.40381	0.00713151
-7.60345	8.40381	0.00713151
-7.40336	8.40381	0.00713151
-7.20327	8.40381	0.00713151
-7.00318	8.40381	0.00713151
-6.80309	8.40381	0.00713151
-6.603	8.40381	0.00713151
-6.4029	8.40381	0.00713151
-6.20281	8.40381	0.00713151
-6.00272	8.40381	0.00713151
-5.80263	8.40381	0.00713151
-5.60254	8.40381	0.00713151
-5.40245	8.40381	0.00713151
-5.20236	8.40381	0.00713151
-5.00227	8.40381	0.00713151
-4.80218	8.40381	0.00713151
-4.60209	8.40381	0.00713151
-4.402	8.40381	0.00713151
-4.20191	8.40381	0.00713151
-4.00182	8.40381	0.00713151
-3.80172	8.40381	0.00713151
-3.60163	8.40381	0.00713151
-3.40154	8.40381	0.00713151
-3.20145	8.40381	0.00713151
-3.00136	8.40381	0.00713151
-2.80127	8.40381	0.00713151
-2.60118	8.40381	0.00713151
-2.40109	8.40381	0.00713151
-2.201	8.40381	0.00713151
-2.00091	8.40381	0.00713151
-1.80082	8.40381	0.00713151
-1.60073	8.40381	0.00713151
-1.40064	8.40381	0.00713151
-1.20054	8.40381	0.00713151
-1.00045	8.40381	0.00713151
-0.800363	8.40381	0.00713151
-0.600272	8.40381	0.00713151
-0.400182	8.40381	0.00713151
-0.200091	8.40381	0.00713151
0	8.40381	0.00713151
0.200091	8.40381	0.00713151
0.400182	8.40381	0.00713151
0.600272	8.40381	0.00713151
0.800363	8.40381	0.00713151
1.00045	8.40381	0.00713151
1.20054	8.40381	0.00713151
1.40064	8.40381	0.00713151
1.60073	8.40381	0.00713151
1.80082	8.40381	0.00713151
2.00091	8.40381	0.00713151
2.201	8.40381	0.00713151
2.40109	8.40381	0.00713151
2.60118	8.40381	0.00713151
2.80127	8.40381	0.00713151
3.00136	8.40381	0.00713151
3.20145	8.40381	0.00713151
3.40154	8.40381	0.00713151
3.60163	8.40381	0.00713151
3.80172	8.40381	0.00713151
4.00182	8.40381	0.00713151
4.20191	8.40381	0.00713151
4.402	8.40381	0.00713151
4.60209	8.40381	0.00713151
4.80218	8.40381	0.00713151
5.00227	8.40381	0.00713151
5.20236	8.40381	0.00713151
5.40245	8.40381	0.00713151
5.60254	8.40381	0.00713151
5.80263	8.40381	0.00713151
6.00272	8.40381	0.00713151
6.20281	8.40381	0.00713151
6.4029	8.40381	0.00713151
6.603	8.40381	0.00713151
6.80309	8.40381	0.00713151
7.00318	8.40381	0.00713151
7.20327	8.40381	0.00713151
7.40336	8.40381	0.00713151
7.60345	8.40381	0.00713151
7.80354	8.40381	0.00713151
8.00363	8.40381	0.00713151
8.20372	8.40381	0.00713151
8.40381	8.40381	0.00713151
8.6039	8.40381	0.00713151
8.80399	8.40381	0.00713151
9.00408	8.40381	0.00713151
9.20418	8.40381	0.00713151
9.40427	8.40381	0.00713151
9.60436	8.40381	0.00713151
9.80445	8.40381	0.00713151
10.0045	8.40381	0.00713151

-9.80445	8.6039	0.00713151
-9.60436	8.6039	0.00713151
-9.40427	8.6039	0.00713151
-9.20418	8.6039	0.00713151
-9.00408	8.6039	0.00713151
-8.80399	8.6039	0.00713151
-8.6039	8.6039	0.00713151
-8.40381	8.6039	0.00713151
-8.20372	8.6039	0.00713151
-8.00363	8.6039	0.00713151
-7.80354	8.6039	0.00713151
-7.60345	8.6039	0.00713151
-7.40336	8.6039	0.00713151
-7.20327	8.6039	0.00713151
-7.00318	8.6039	0.00713151
-6.80309	8.6039	0.00713151
-6.603	8.6039	0.00713151
-6.4029	8.6039	0.00713151
-6.20281	8.6039	0.00713151
-6.00272	8.6039	0.00713151
-5.80263	8.6039	0.00713151
-5.60254	8.6039	0.00713151
-5.40245	8.6039	0.00713151
-5.20236	8.6039	0.00713151
-5.00227	8.6039	0.00713151
-4.80218	8.6039	0.00713151
-4.60209	8.6039	0.00713151
-4.402	8.6039	0.00713151
-4.20191	8.6039	0.00713151
-4.00182	8.6039	0.00713151
-3.80172	8.6039	0.00713151
-3.60163	8.6039	0.00713151
-3.40154	8.6039	0.00713151
-3.20145	8.6039	0.00713151
-3.00136	8.6039	0.00713151
-2.80127	8.6039	0.00713151
-2.60118	8.6039	0.00713151
-2.40109	8.6039	0.00713151
-2.201	8.6039	0.00713151
-2.00091	8.6039	0.00713151
-1.80082	8.6039	0.00713151
-1.60073	8.6039	0.00713151
-1.40064	8.6039	0.00713151
-1.20054	8.6039	0.00713151
-1.00045	8.6039	0.00713151
-0.800363	8.6039	0.00713151
-0.600272	8.6039	0.00713151
-0.400182	8.6039	0.00713151
-0.200091	8.6039	0.00713151
0	8.6039	0.00713151
0.200091	8.6039	0.00713151
0.400182	8.6039	0.00713151
0.600272	8.6039	0.00713151
0.800363	8.6039	0.00713151
1.00045	8.6039	0.00713151
1.20054	8.6039	0.00713151
1.40064	8.6039	0.00713151
1.60073	8.6039	0.00713151
1.80082	8.6039	0.00713151
2.00091	8.6039	0.00713151
2.201	8.6039	0.00713151
2.40109	8.6039	0.00713151
2.60118	8.6039	0.00713151
2.80127	8.6039	0.00713151
3.00136	8.6039	0.00713151
3.20145	8.6039	0.00713151
3.40154	8.6039	0.00713151
3.60163	8.6039	0.00713151
3.80172	8.6039	0.00713151
4.00182	8.6039	0.00713151
4.20191	8.6039	0.00713151
4.402	8.6039	0.00713151
4.60209	8.6039	0.00713151
4.80218	8.6039	0.00713151
5.00227	8.6039	0.00713151
5.20236	8.6039	0.00713151
5.40245	8.6039	0.00713151
5.60254	8.6039	0.00713151
5.80263	8.6039	0.00713151
6.00272	8.6039	0.00713151
6.20281	8.6039	0.00713151
6.4029	8.6039	0.00713151
6.603	8.6039	0.00713151
6.80309	8.6039	0.00713151
7.00318	8.6039	0.00713151
7.20327	8.6039	0.00713151
7.40336	8.6039	0.00713151
7.60345	8.6039	0.00713151
7.80354	8.6039	0.00713151
8.00363	8.6039	0.00713151
8.20372	8.6039	0.00713151
8.40381	8.6039	0.00713151
8.6039	8.6039	0.00713151
8.80399	8.6039	0.00713151
9.00408	8.6039	0.00713151
9.20418	8.6039	0.00713151
9.40427	8.6039	0.00713151
9.60436	8.6039	0.00713151
9.80445	8.6039	0.00713151
10.0045	8.6039	0.00713151

-9.80445	8.80399	0.00713151
-9.60436	8.80399	0.00713151
-9.40427	8.80399	0.00713151
-9.20418	8.80399	0.00713151
-9.00408	8.80399	0.00713151
-8.80399	8.80399	0.00713151
-8.6039	8.80399	0.00713151
-8.40381	8.80399	0.00713151
-8.20372	8.80399	0.00713151
-8.00363	8.80399	0.00713151
-7.80354	8.80399	0.00713151
-7.60345	8.80399	0.00713151
-7.40336	8.80399	0.00713151
-7.20327	8.80399	0.00713151
-7.00318	8.80399	0.00713151
-6.80309	8.80399	0.00713151
-6.603	8.80399	0.00713151
-6.4029	8.80399	0.00713151
-6.20281	8.80399	0.00713151
-6.00272	8.80399	0.00713151
-5.80263	8.80399	0.00713151
-5.60254	8.80399	0.00713151
-5.40245	8.80399	0.00713151
-5.20236	8.80399	0.00713151
-5.00227	8.80399	0.00713151
-4.80218	8.80399	0.00713151
-4.60209	8.80399	0.00713151
-4.402	8.80399	0.00713151
-4.20191	8.80399	0.00713151
-4.00182	8.80399	0.00713151
-3.80172	8.80399	0.00713151
-3.60163	8.80399	0.00713151
-3.40154	8.80399	0.00713151
-3.20145	8.80399	0.00713151
-3.00136	8.80399	0.00713151
-2.80127	8.80399	0.00713151
-2.60118	8.80399	0.00713151
-2.40109	8.80399	0.00713151
-2.201	8.80399	0.00713151
-2.00091	8.80399	0.00713151
-1.80082	8.80399	0.00713151
-1.60073	8.80399	0.00713151
-1.40064	8.80399	0.00713151
-1.20054	8.80399	0.00713151
-1.00045	8.80399	0.00713151
-0.800363	8.80399	0.00713151
-0.600272	8.80399	0.00713151
-0.400182	8.80399	0.00713151
-0.200091	8.80399	0.00713151
0	8.80399	0.00713151
0.200091	8.80399	0.00713151
0.400182	8.80399	0.00713151
0.600272	8.80399	0.00713151
0.800363	8.80399	0.00713151
1.00045	8.80399	0.00713151
1.20054	8.80399	0.00713151
1.40064	8.80399	0.00713151
1.60073	8.80399	0.00713151
1.80082	8.80399	0.00713151
2.00091	8.80399	0.00713151
2.201	8.80399	0.00713151
2.40109	8.80399	0.00713151
2.60118	8.80399	0.00713151
2.80127	8.80399	0.00713151
3.00136	8.80399	0.00713151
3.20145	8.80399	0.00713151
3.40154	8.80399	0.00713151
3.60163	8.80399	0.00713151
3.80172	8.80399	0.00713151
4.00182	8.80399	0.00713151
4.20191	8.80399	0.00713151
4.402	8.80399	0.00713151
4.60209	8.80399	0.00713151
4.80218	8.80399	0.00713151
5.00227	8.80399	0.00713151
5.20236	8.80399	0.00713151
5.40245	8.80399	0.00713151
5.60254	8.80399	0.00713151
5.80263	8.80399	0.00713151
6.00272	8.80399	0.00713151
6.20281	8.80399	0.00713151
6.4029	8.80399	0.00713151
6.603	8.80399	0.00713151
6.80309	8.80399	0.00713151
7.00318	8.80399	0.00713151
7.20327	8.80399	0.00713151
7.40336	8.80399	0.00713151
7.60345	8.80399	0.00713151
7.80354	8.80399	0.00713151
8.00363	8.80399	0.00713151
8.20372	8.80399	0.00713151
8.40381	8.80399	0.00713151
8.6039	8.80399	0.00713151
8.80399	8.80399	0.00713151
9.00408	8.80399	0.00713151
9.20418	8.80399	0.00713151
9.40427	8.80399	0.00713151
9.60436	8.80399	0.00713151
9.80445	8.80399	0.00713151
10.0045	8.80399	0.00713151

-9.80445	9.00408	0.00713151
-9.60436	9.00408	0.00713151
-9.40427	9.00408	0.00713151
-9.20418	9.00408	0.00713151
-9.00408	9.00408	0.00713151
-8.80399	9.00408	0.00713151
-8.6039	9.00408	0.00713151
-8.40381	9.00408	0.00713151
-8.20372	9.00408	0.00713151
-8.00363	9.00408	0.00713151
-7.80354	9.00408	0.00713151
-7.60345	9.00408	0.00713151
-7.40336	9.00408	0.00713151
-7.20327	9.00408	0.00713151
-7.00318	9.00408	0.00713151
-6.80309	9.00408	0.00713151
-6.603	9.00408	0.00713151
-6.4029	9.00408	0.00713151
-6.20281	9.00408	0.00713151
-6.00272	9.00408	0.00713151
-5.80263	9.00408	0.00713151
-5.60254	9.00408	0.00713151
-5.40245	9.00408	0.00713151
-5.20236	9.00408	0.00713151
-5.00227	9.00408	0.00713151
-4.80218	9.00408	0.00713151
-4.60209	9.00408	0.00713151
-4.402	9.00408	0.00713151
-4.20191	9.00408	0.00713151
-4.00182	9.00408	0.00713151
-3.80172	9.00408	0.00713151
-3.60163	9.00408	0.00713151
-3.40154	9.00408	0.00713151
-3.20145	9.00408	0.00713151
-3.00136	9.00408	0.00713151
-2.80127	9.00408	0.00713151
-2.60118	9.00408	0.00713151
-2.40109	9.00408	0.00713151
-2.201	9.00408	0.00713151
-2.00091	9.00408	0.00713151
-1.80082	9.00408	0.00713151
-1.60073	9.00408	0.00713151
-1.40064	9.00408	0.00713151
-1.20054	9.00408	0.00713151
-1.00045	9.00408	0.00713151
-0.800363	9.00408	0.00713151
-0.600272	9.00408	0.00713151
-0.400182	9.00408	0.00713151
-0.200091	9.00408	0.00713151
0	9.00408	0.00713151
0.200091	9.00408	0.00713151
0.400182	9.00408	0.00713151
0.600272	9.00408	0.00713151
0.800363	9.00408	0.00713151
1.00045	9.00408	0.00713151
1.20054	9.00408	0.00713151
1.40064	9.00408	0.00713151
1.60073	9.00408	0.00713151
1.80082	9.00408	0.00713151
2.00091	9.00408	0.00713151
2.201	9.00408	0.00713151
2.40109	9.00408	0.00713151
2.60118	9.00408	0.00713151
2.80127	9.00408	0.00713151
3.00136	9.00408	0.00713151
3.20145	9.00408	0.00713151
3.40154	9.00408	0.00713151
3.60163	9.00408	0.00713151
3.80172	9.00408	0.00713151
4.00182	9.00408	0.00713151
4.20191	9.00408	0.00713151
4.402	9.00408	0.00713151
4.60209	9.00408	0.00713151
4.80218	9.00408	0.00713151
5.00227	9.00408	0.00713151
5.20236	9.00408	0.00713151
5.40245	9.00408	0.00713151
5.60254	9.00408	0.00713151
5.80263	9.00408	0.00713151
6.00272	9.00408	0.00713151
6.20281	9.00408	0.00713151
6.4029	9.00408	0.00713151
6.603	9.00408	0.00713151
6.80309	9.00408	0.00713151
7.00318	9.00408	0.00713151
7.20327	9.00408	0.00713151
7.40336	9.00408	0.00713151
7.60345	9.00408	0.00713151
7.80354	9.00408	0.00713151
8.00363	9.00408	0.00713151
8.20372	9.00408	0.00713151
8.40381	9.00408	0.00713151
8.6039	9.00408	0.00713151
8.80399	9.00408	0.00713151
9.00408	9.00408	0.00713151
9.20418	9.00408	0.00713151
9.40427	9.00408	0.00713151
9.60436	9.00408	0.00713151
9.80445	9.00408	0.00713151
10.0045	9.00408	0.00713151

-9.80445	9.20418	0.00713151
-9.60436	9.20418	0.00713151
-9.40427	9.20418	0.00713151
-9.20418	9.20418	0.00713151
-9.00408	9.20418	0.00713151
-8.80399	9.20418	0.00713151
-8.6039	9.20418	0.00713151
-8.40381	9.20418	0.00713151
-8.20372	9.20418	0.00713151
-8.00363	9.20418	0.00713151
-7.80354	9.20418	0.00713151
-7.60345	9.20418	0.00713151
-7.40336	9.20418	0.00713151
-7.20327	9.20418	0.00713151
-7.00318	9.20418	0.00713151
-6.80309	9.20418	0.00713151
-6.603	9.20418	0.00713151
-6.4029	9.20418	0.00713151
-6.20281	9.20418	0.00713151
-6.00272	9.20418	0.00713151
-5.80263	9.20418	0.00713151
-5.60254	9.20418	0.00713151
-5.40245	9.20418	0.00713151
-5.20236	9.20418	0.00713151
-5.00227	9.20418	0.00713151
-4.80218	9.20418	0.00713151
-4.60209	9.20418	0.00713151
-4.402	9.20418	0.00713151
-4.20191	9.20418	0.00713151
-4.00182	9.20418	0.00713151
-3.80172	9.20418	0.00713151
-3.60163	9.20418	0.00713151
-3.40154	9.20418	0.00713151
-3.20145	9.20418	0.00713151
-3.00136	9.20418	0.00713151
-2.80127	9.20418	0.00713151
-2.60118	9.20418	0.00713151
-2.40109	9.20418	0.00713151
-2.201	9.20418	0.00713151
-2.00091	9.20418	0.00713151
-1.80082	9.20418	0.00713151
-1.60073	9.20418	0.00713151
-1.40064	9.20418	0.00713151
-1.20054	9.20418	0.00713151
-1.00045	9.20418	0.00713151
-0.800363	9.20418	0.00713151
-0.600272	9.20418	0.00713151
-0.400182	9.20418	0.00713151
-0.200091	9.20418	0.00713151
0	9.20418	0.00713151
0.200091	9.20418	0.00713151
0.400182	9.20418	0.00713151
0.600272	9.20418	0.00713151
0.800363	9.20418	0.00713151
1.00045	9.20418	0.00713151
1.20054	9.20418	0.00713151
1.40064	9.20418	0.00713151
1.60073	9.20418	0.00713151
1.80082	9.20418	0.00713151
2.00091	9.20418	0.00713151
2.201	9.20418	0.00713151
2.40109	9.20418	0.00713151
2.60118	9.20418	0.00713151
2.80127	9.20418	0.00713151
3.00136	9.20418	0.00713151
3.20145	9.20418	0.00713151
3.40154	9.20418	0.00713151
3.60163	9.20418	0.00713151
3.80172	9.20418	0.00713151
4.00182	9.20418	0.00713151
4.20191	9.20418	0.00713151
4.402	9.20418	0.00713151
4.60209	9.20418	0.00713151
4.80218	9.20418	0.00713151
5.00227	9.20418	0.00713151
5.20236	9.20418	0.00713151
5.40245	9.20418	0.00713151
5.60254	9.20418	0.00713151
5.80263	9.20418	0.00713151
6.00272	9.20418	0.00713151
6.20281	9.20418	0.00713151
6.4029	9.20418	0.00713151
6.603	9.20418	0.00713151
6.80309	9.20418	0.00713151
7.00318	9.20418	0.00713151
7.20327	9.20418	0.00713151
7.40336	9.20418	0.00713151
7.60345	9.20418	0.00713151
7.80354	9.20418	0.00713151
8.00363	9.20418	0.00713151
8.20372	9.20418	0.00713151
8.40381	9.20418	0.00713151
8.6039	9.20418	0.00713151
8.80399	9.20418	0.00713151
9.00408	9.20418	0.00713151
9.20418	9.20418	0.00713151
9.40427	9.20418	0.00713151
9.60436	9.20418	0.00713151
9.80445	9.20418	0.00713151
10.0045	9.20418	0.00713151

-9.80445	9.40427	0.00713151
-9.60436	9.40427	0.00713151
-9.40427	9.40427	0.00713151
-9.20418	9.40427	0.00713151
-9.00408	9.40427	0.00713151
-8.80399	9.40427	0.00713151
-8.6039	9.40427	0.00713151
-8.40381	9.40427	0.00713151
-8.20372	9.40427	0.00713151
-8.00363	9.40427	0.00713151
-7.80354	9.40427	0.00713151
-7.60345	9.40427	0.00713151
-7.40336	9.40427	0.00713151
-7.20327	9.40427	0.00713151
-7.00318	9.40427	0.00713151
-6.80309	9.40427	0.00713151
-6.603	9.40427	0.00713151
-6.4029	9.40427	0.00713151
-6.20281	9.40427	0.00713151
-6.00272	9.40427	0.00713151
-5.80263	9.40427	0.00713151
-5.60254	9.40427	0.00713151
-5.40245	9.40427	0.00713151
-5.20236	9.40427	0.00713151
-5.00227	9.40427	0.00713151
-4.80218	9.40427	0.00713151
-4.60209	9.40427	0.00713151
-4.402	9.40427	0.00713151
-4.20191	9.40427	0.00713151
-4.00182	9.40427	0.00713151
-3.80172	9.40427	0.00713151
-3.60163	9.40427	0.00713151
-3.40154	9.40427	0.00713151
-3.20145	9.40427	0.00713151
-3.00136	9.40427	0.00713151
-2.80127	9.40427	0.00713151
-2.60118	9.40427	0.00713151
-2.40109	9.40427	0.00713151
-2.201	9.40427	0.00713151
-2.00091	9.40427	0.00713151
-1.80082	9.40427	0.00713151
-1.60073	9.40427	0.00713151
-1.40064	9.40427	0.00713151
-1.20054	9.40427	0.00713151
-1.00045	9.40427	0.00713151
-0.800363	9.40427	0.00713151
-0.600272	9.40427	0.00713151
-0.400182	9.40427	0.00713151
-0.200091	9.40427	0.00713151
0	9.40427	0.00713151
0.200091	9.40427	0.00713151
0.400182	9.40427	0.00713151
0.600272	9.40427	0.00713151
0.800363	9.40427	0.00713151
1.00045	9.40427	0.00713151
1.20054	9.40427	0.00713151
1.40064	9.40427	0.00713151
1.60073	9.40427	0.00713151
1.80082	9.40427	0.00713151
2.00091	9.40427	0.00713151
2.201	9.40427	0.00713151
2.40109	9.40427	0.00713151
2.60118	9.40427	0.00713151
2.80127	9.40427	0.00713151
3.00136	9.40427	0.00713151
3.20145	9.40427	0.00713151
3.40154	9.40427	0.00713151
3.60163	9.40427	0.00713151
3.80172	9.40427	0.00713151
4.00182	9.40427	0.00713151
4.20191	9.40427	0.00713151
4.402	9.40427	0.00713151
4.60209	9.40427	0.00713151
4.80218	9.40427	0.00713151
5.00227	9.40427	0.00713151
5.20236	9.40427	0.00713151
5.40245	9.40427	0.00713151
5.60254	9.40427	0.00713151
5.80263	9.40427	0.00713151
6.00272	9.40427	0.00713151
6.20281	9.40427	0.00713151
6.4029	9.40427	0.00713151
6.603	9.40427	0.00713151
6.80309	9.40427	0.00713151
7.00318	9.40427	0.00713151
7.20327	9.40427	0.00713151
7.40336	9.40427	0.00713151
7.60345	9.40427	0.00713151
7.80354	9.40427	0.00713151
8.00363	9.40427	0.00713151
8.20372	9.40427	0.00713151
8.40381	9.40427	0.00713151
8.6039	9.40427	0.00713151
8.80399	9.40427	0.00713151
9.00408	9.40427	0.00713151
9.20418	9.40427	0.00713151
9.40427	9.40427	0.00713151
9.60436	9.40427	0.00713151
9.80445	9.40427	0.00713151
10.0045	9.40427	0.00713151

-9.80445	9.60436	0.00713151
-9.60436	9.60436	0.00713151
-9.40427	9.60436	0.00713151
-9.20418	9.60436	0.00713151
-9.00408	9.60436	0.00713151
-8.80399	9.60436	0.00713151
-8.6039	9.60436	0.00713151
-8.40381	9.60436	0.00713151
